Gene_ID	MCF7-2_shRB1-3_DMSO_1	MCF7-2_shRB1-3_DMSO_2	MCF7-2_shRB1-3_LY500nM_1	MCF7-2_shRB1-3_LY500nM_2
VIPAS39	277	1145	589	354
C11orf65	11	35	13	14
SMAD9	30	66	51	60
MARCH10	2	9	22	11
MIR5000	0	0	0	0
UBOX5	46	204	133	110
LOC554206	5	42	19	16
EIF4H	2192	6748	5304	3224
KCNMB2	0	0	1	0
MIR520H	0	0	0	0
AURKAPS1	7	8	9	10
LRRC8E	134	382	309	216
KCNG1	44	322	128	100
RASGRF2	8	1	1	0
TALDO1	1881	4962	5020	2661
LOC101927650	0	0	0	0
GTPBP6	0	0	0	0
RAB30-AS1	172	296	282	140
C1QB	0	0	0	0
MIR516A1	0	0	0	0
ZNF204P	28	89	30	29
LOC645949	0	1	0	0
CLEC3B	6	19	18	13
UBAP1L	0	2	2	2
CLN6	731	2546	2510	1363
UBALD1	211	1140	772	313
LOC101928744	0	0	0	0
PRY	0	0	0	0
MALT1	199	132	240	157
C19orf35	0	0	0	0
LOC100128770	27	1	2	2
LOC100130954	0	0	0	0
IMP3	526	1125	1347	652
STK16	213	828	773	504
CNPY2	658	1633	2152	1144
RPL3L	1	0	2	2
AES	1629	6252	4704	2622
IGLL5	0	0	0	0
PSMB10	150	413	492	257
CCP110	281	470	443	322
CPNE5	0	1	2	4
NDUFB11	866	3109	3074	1581
LOC653602	12	36	11	4
GPRC6A	0	0	0	0
IL1B	0	0	0	0
DIS3L	358	841	755	423
GLB1L3	0	0	0	0
OTP	0	3	10	1
LINC00474	0	0	0	0
FAM193B	57	295	321	226
CTB-118N6.3	19	0	2	3
CYP3A43	0	0	0	0
ZNF502	0	0	0	0
VCAM1	0	0	0	0
SLC43A3	0	0	0	0
OIP5-AS1	570	924	1057	577
LINC00864	0	0	0	0
SPATA7	82	242	204	91
LINC00558	0	0	0	0
LINC00634	5	33	18	20
ABCB9	209	586	812	454
DNPH1	440	2250	2421	1242
KIF25-AS1	0	0	0	0
LOC642929	0	0	0	0
GPR20	1	7	7	2
B3GNT5	124	370	287	183
VPS35	1810	3753	3006	1691
RBBP7	5476	8655	12037	6679
SOCS6	418	589	703	384
VBP1	1038	1443	1694	829
TFF2	0	7	14	5
GABRB1	0	0	0	0
ZSWIM5	282	938	784	529
UXS1	323	584	1017	561
LOC101928136	0	0	1	0
PPM1L	71	229	160	147
RABL2A	6	46	26	36
GALP	0	0	0	0
LOC101927207	0	0	0	0
MIR6772	0	0	0	0
LRRFIP1	1994	4311	3263	2069
PRKCZ	210	899	872	508
AKAP13	470	1153	1425	1035
TTTY17C	0	0	0	0
GLMN	100	139	201	101
LRTOMT	767	408	311	151
SORD	855	2147	2133	1329
LOC100506801	0	0	0	0
SPERT	3	14	11	3
RBFOX3	0	0	0	0
CPB2	0	0	1	0
L1TD1	0	0	0	0
AMPD2	447	1662	1802	1027
EFNB3	98	423	347	231
TMEM102	142	320	415	204
PPFIBP2	71	351	123	83
PYGM	1	0	2	1
SNORD41	0	0	0	0
KRTAP21-2	0	0	0	0
MMP16	174	238	465	394
TBC1D26	0	0	0	0
PCDHA1	226	596	626	413
TUB	0	0	0	0
PRADC1	146	272	481	213
FCER2	0	0	0	0
FAHD1	694	1165	1587	825
NCL	12418	21437	28424	17606
DSP	8544	25856	16663	13174
INS-IGF2	0	0	0	0
ALYREF	2247	4927	5766	2940
WDFY3	697	1272	1356	998
ERMP1	964	2574	2228	1490
FGF14	0	0	0	0
PHB	2861	6029	7850	3669
SCAMP4	269	1387	1093	583
CDC5L	833	1973	1803	1027
FAM179A	2	3	2	1
IQCJ-SCHIP1	0	0	0	0
AGMO	0	0	1	0
PHLDA2	207	380	837	350
SERPINB10	0	0	0	0
FAM114A2	101	350	281	170
IGF2BP1	32	99	74	54
LOC284661	0	0	0	0
CHIC2	97	233	154	131
IFT57	426	927	884	430
MOS	0	0	0	0
TMEM194A	609	628	808	411
OTUD1	40	136	99	72
FGF9	0	0	1	0
CARS2	253	638	672	390
TMEM253	6	30	22	6
FBXO41	121	491	469	341
LOC101927087	0	2	0	0
CMAS	492	959	1087	648
CSNK1G2-AS1	0	0	2	0
DPP3	1555	4269	4656	2615
GUSBP5	26	30	30	12
OR2T29	0	0	0	0
TEX12	0	0	0	0
MIR548AC	0	0	0	2
CPT1B	0	2	0	0
ENO1	18148	33067	43239	22421
RPRD2	1526	4507	3717	2546
HTR7P1	47	77	77	50
CIRH1A	1063	2534	1994	1102
SNORD64	0	0	0	0
SGK2	0	0	0	0
XPA	88	218	209	157
CABS1	0	0	0	0
TPTEP1	0	0	0	0
PDRG1	211	664	898	474
ATP6V1A	406	777	1247	914
COMMD6	221	479	562	329
MIR4288	0	0	0	0
NT5C2	825	1394	1959	1127
SNORD117	0	2	0	0
ELL3	144	448	404	276
DHRS9	0	0	1	0
CDH1	7254	21803	20098	14044
HIST1H2BD	80	238	320	196
HDAC4	44	165	156	98
URB1	355	1045	1051	743
ABHD11	396	1924	1361	797
NGB	1	0	0	0
RNF43	288	836	871	564
CIAO1	1227	3133	3635	2104
HEBP1	431	2007	1424	828
NFATC2IP	507	1036	1098	639
PITX3	0	0	1	0
BCS1L	257	682	666	313
ASCC1	290	797	477	306
ZNF124	69	80	106	50
PIK3R2	1523	7038	9169	6103
LOC102724814	109	36	18	19
LOC148709	29	93	76	46
LOC101927027	31	94	49	45
C1orf226	433	2316	1555	1075
LOC101928471	0	0	0	0
TRIO	725	2327	1937	1414
LITAF	1578	4204	2894	1666
GAL3ST3	0	0	0	0
LINC00939	1	10	7	4
FGD5	1	1	2	1
LINC00871	0	0	0	0
PHAX	910	1453	1631	850
OR2M1P	0	0	0	0
PLEKHF2	2547	5325	3606	1904
ARHGAP31	21	68	109	76
SNORD114-5	0	0	0	0
ATP9A	1386	4829	4454	2820
HERPUD2	133	344	409	244
FCGRT	9	36	8	5
REST	383	613	1016	644
PRRG1	11	15	31	24
ICOS	0	0	0	0
DEXI	135	368	537	285
ONECUT2	155	230	322	216
IGFBP1	0	0	0	0
CSTF1	635	1731	1506	907
MIR3121	0	0	0	0
XPOT	2302	8715	4245	2926
ZNRF4	0	0	0	0
UBFD1	1189	2958	2978	1862
RPS6KL1	33	181	171	99
BLACAT1	2	3	2	3
DEPDC7	0	0	0	0
TLE4	8	15	51	42
NYAP2	0	0	1	0
GABRA4	0	0	0	0
FGF21	0	3	0	0
LKAAEAR1	5	18	10	7
DENND3	20	47	54	27
MIR1295A	0	0	0	0
TCEAL7	0	0	0	0
DR1	439	729	883	484
DND1	33	2	2	3
SRM	1121	2839	4130	1823
SEPP1	1889	5535	2390	1586
DMD	47	59	69	32
CCDC114	6	15	3	7
SF3A3	1724	4027	3143	1829
TOP1P2	0	1	1	0
METTL1	290	538	675	387
KCNQ5-AS1	0	0	0	0
TMOD3	1719	3390	3338	2264
TMEM246	0	0	0	0
MIR4511	0	0	0	0
GPR155	19	49	115	53
SLC35E2B	198	904	612	542
KRTAP4-6	0	0	0	0
EP400NL	7	34	23	23
KCND3	3	22	21	13
MIR4509-3	0	0	0	0
DEGS1	591	897	954	477
RSU1	282	718	784	379
CALCR	131	239	528	220
TM9SF4	514	1699	1724	1281
OVCH1-AS1	0	0	0	0
SLX1A	0	0	0	0
MIR6845	0	0	1	0
SMPD4	1601	2389	2290	1574
HNRNPK	8161	14249	16638	9422
MIR4483	0	0	0	0
MIR1227	0	0	0	0
LOC653712	0	3	2	1
OR2M3	0	0	0	0
DLX5	2	10	4	1
ARID4B	588	798	1000	551
LOC101929064	0	0	0	0
NME8	0	0	0	0
FAM175B	280	535	449	261
TBL2	512	1336	1216	671
PXMP2	331	1030	1227	617
ERCC-00014	0	0	0	0
FSCB	0	0	0	0
RBMX	3570	6989	6426	3382
TMPRSS13	298	1511	713	495
PROX2	1	0	0	0
ARMCX3	860	1778	2180	1403
LOC101805491	0	0	0	0
MIR4422	0	0	0	0
SNORA37	0	0	0	0
ZNF736	9	24	33	35
MIR4802	0	0	0	0
LOC729966	0	0	0	1
ZNF568	29	124	49	44
HIST1H2AH	2	0	5	2
TTTY1B	0	0	0	0
NSMF	596	2609	2039	1289
LOC728392	12	38	76	52
SUSD5	1	0	0	0
SPINT4	0	0	0	0
OR52N4	0	0	0	0
FFAR3	0	0	0	0
ELAC2	985	2528	2632	1509
MIOX	0	3	0	0
LOC102724596	0	3	4	0
LINC00911	0	0	0	0
FAM47C	0	0	0	0
OR2D3	0	0	0	0
FMNL2	88	128	184	132
DCAF13P3	1	2	2	3
GSTM4	304	1100	696	426
PRLR	2545	5233	4007	3518
CDRT15P1	0	0	0	0
EIF3CL	0	0	0	0
SNX11	269	693	708	357
GADD45A	113	757	255	154
SHH	4	17	12	7
PLOD2	2781	4296	4813	2449
C1orf74	63	118	107	74
ANKUB1	0	0	0	0
NMBR	0	0	0	0
PROKR2	0	0	0	0
PNN	1572	2068	2614	1468
POU5F1	1	0	0	0
LOC220729	20	48	29	46
PVRIG	1	0	0	0
LOC100652770	35	1	1	0
SNORD125	0	0	0	0
PCDHA6	131	437	309	229
PHF20L1	569	821	888	535
SOX13	523	2874	1740	1261
EXTL1	0	13	6	11
POLR2J4	28	37	34	26
ERCC-00073	0	0	0	0
TIGD2	102	284	132	90
ACOT7	611	1734	1615	966
HCG4B	0	0	0	0
OR8K3	0	0	0	0
ARHGEF18	195	650	587	371
GOLGA8O	0	0	0	0
ZNF746	118	389	484	302
CPEB1	4	15	24	12
CA6	0	0	0	0
MIR4658	0	0	0	0
PEA15	1003	2752	3525	1813
MAGEB16	0	0	0	0
CLEC2A	0	0	0	0
TOPBP1	923	1090	1126	698
TMEM194B	190	539	414	231
PITRM1	1064	3007	2609	1367
GFI1	22	47	41	47
SPATA19	0	0	0	0
KLHL18	89	253	263	190
RING1	292	1345	864	527
ARL6IP6	180	348	299	149
RANGAP1	2143	4883	6379	3163
MIR7974	0	0	0	0
TM9SF3	2630	4720	5650	3948
CDK6	110	219	539	329
EXO1	618	953	787	379
APH1A	2775	9420	9015	5193
MIR4267	0	0	0	0
MIR5002	0	0	0	0
R3HDM1	918	1790	1699	1013
MYO7A	35	131	114	87
SPTSSA	931	1542	1602	939
NPY4R	0	0	0	0
ANKK1	0	1	0	0
MIR3197	0	0	0	0
NUAK1	205	556	780	482
ARHGEF7-AS1	0	0	0	0
MIR8068	0	0	0	0
MIR657	0	0	0	0
KIAA0125	0	1	1	2
VPS39	250	979	674	417
GP2	28	149	21	7
GPR45	0	1	3	0
PIGV	182	655	513	299
FBXL12	55	233	175	102
LOC100270804	6	11	4	7
OR5H15	0	0	0	0
CNTNAP4	0	9	10	5
LOC102467223	0	0	0	0
PLEKHH2	120	395	264	159
AGO1	369	1267	1483	1105
PLA2G4F	17	87	168	114
RAET1K	2	10	7	6
SNTN	5	10	17	16
LMX1B	440	1620	1882	1361
PTPLB	374	731	673	415
TMEM44-AS1	16	93	56	34
MIR4461	2	0	0	2
ZSWIM3	37	77	42	29
TMA7	837	1298	2356	1084
TMEM218	166	505	418	247
FAM50B	49	260	233	106
C2CD4D	7	28	24	23
ANKRD20A1	0	0	0	0
KDELR2	4304	8176	8687	5066
KLK10	26	153	81	47
ARL17A	4	13	10	4
CWC22	357	592	516	355
FERD3L	0	0	0	0
CXorf66	0	0	0	0
ERCC-00035	0	0	0	0
SMARCB1	1145	4068	2898	1713
RBM27	723	1231	1345	893
P4HA3	0	1	4	2
S1PR3	406	632	572	299
MAGEL2	0	0	0	0
VPS16	192	768	650	355
SORT1	2390	5861	6285	4378
ARHGAP9	1	2	0	1
SLC1A2	123	398	158	166
FRMD8P1	0	0	0	0
C14orf105	0	0	0	0
MIR1252	0	0	0	0
SLC35A2	255	769	857	484
C16orf97	0	0	0	0
PEBP1	4574	11063	13736	8144
FBXO4	334	824	734	432
SMARCD2	4014	14010	10831	6516
ZCCHC9	328	562	481	234
COL27A1	18	110	76	73
POTEH	0	0	0	0
INPP4B	500	1210	1185	667
MIR545	0	0	0	0
RNF139	1203	2498	2021	1219
MIR3622A	0	0	0	0
MIR4800	0	0	0	0
RNF111	221	373	458	228
RPEL1	2	5	4	4
ALDH16A1	345	1891	1555	1093
CAND1.11	4	2	3	0
TRIM37	11078	20923	21640	13807
NUBP2	683	2947	3035	1706
HLA-G	2	10	15	7
KCTD21-AS1	106	12	10	9
PRR27	0	0	0	0
SOHLH2	0	0	0	0
PAGE2B	0	0	0	0
ZNF467	284	1802	1073	574
PGK2	0	2	0	3
RNASE13	0	0	0	0
DNMT3L	0	0	0	0
LOC101927181	15	68	44	34
MIR3198-2	0	0	0	0
SNX19	394	1092	1059	748
GPHN	387	1038	808	543
LYNX1	12	79	60	32
SMAD3	580	1821	1794	1089
STARD4-AS1	35	8	2	7
POU5F1P3	0	0	0	0
SNORD21	2	0	0	0
LOC101926960	0	0	0	0
CSF1R	0	0	1	0
ANKRD53	0	0	0	0
MIR662	0	0	0	0
GPRASP1	3	17	16	13
MTX2	432	1078	995	518
PLA2G4B	0	0	0	1
MIR3692	0	0	0	0
CDRT4	0	0	0	0
TTC23L	5	6	8	11
LINC01249	0	0	0	0
DCAKD	212	1106	897	650
EIF1AY	0	0	0	0
MIR3128	0	0	0	0
HHIP-AS1	0	0	0	0
WDR77	1072	1200	2652	1272
PAICS	3983	7230	7448	4453
LMX1A	0	0	0	1
HTR7	1	1	12	0
KRTAP5-2	1	2	0	0
XXYLT1	234	535	528	300
PCAT5	0	0	0	0
PLCL1	3	10	4	9
TTTY13	0	0	0	0
MIR3928	0	0	0	0
MIR1178	0	0	0	0
NKRF	358	640	752	476
MIR132	0	1	0	0
LMO7	139	222	403	229
KIF17	1	12	2	0
MIR520E	0	0	0	0
PLP2	1183	3743	3693	1989
CUL7	610	3199	2464	1609
NDUFB7	510	2199	1921	1074
VPS26B	816	2633	2389	1363
LDLR	1233	2271	3096	1836
TP53TG5	1	0	0	0
PPIAL4D	0	0	0	0
SATB2	110	293	354	252
MIR4462	0	0	0	0
MIR4717	0	0	0	0
TMEM14B	931	1929	2370	1097
SRSF11	1223	1165	1794	1009
GLP1R	0	0	0	0
E2F4	446	1350	1392	770
FBXL17	296	594	689	438
LOC441454	0	0	0	0
TPM4	3430	7899	6858	3607
C7orf50	1170	3085	3892	1857
CYP2J2	187	697	383	239
HOXD13	0	0	0	0
ELAVL3	0	0	0	0
MFSD4	2	12	11	2
ATP5EP2	22	16	22	12
DMWD	201	908	918	524
SNORD12B	1	0	2	1
KIF20A	1098	1473	1697	839
CASC2	14	55	20	17
ARHGAP42	23	48	61	53
CNKSR3	401	842	971	489
ZNF264	82	167	206	152
DAB2	1	0	7	2
LOC101929371	0	0	0	0
RAPSN	0	1	3	2
ADAP2	20	72	43	19
SNORA20	0	0	0	0
MCM2	2780	8048	5652	3632
WDR52-AS1	1	0	0	0
AR	759	1931	1429	1060
MIR4515	0	0	0	0
MRGPRE	0	0	0	0
CYBB	6	8	7	3
NENF	523	1605	1901	963
LSM12	35	49	66	31
SNORD101	0	0	1	1
FAM86HP	13	53	59	36
HPR	1	0	0	0
LGI3	0	1	17	9
ORC3	441	775	566	266
SAR1B	829	1392	1392	803
SMC1B	16	25	24	15
MARCH3	30	97	115	57
TMEM161B-AS1	37	85	126	49
DAZ4	0	0	0	0
RSPO1	4	10	4	2
MGMT	349	1400	1279	729
EMC3	880	1877	2178	1141
HSF2BP	30	83	89	40
HNRNPR	2654	6606	5503	3385
ZRANB2-AS1	67	1	2	4
LOC100652768	40	1	2	3
MAP2K4P1	2	1	8	3
PRPS1	532	899	1001	588
OR2AG1	0	0	0	0
PLCZ1	0	0	0	0
SLC11A1	16	48	17	11
RBMY1A3P	0	0	0	0
ZNF846	12	26	26	15
PUS1	357	951	1079	651
ZNF266	119	237	179	116
AKAP11	880	1286	1680	1180
WHAMMP3	0	10	7	10
STMN3	755	2521	3618	2049
TNFAIP3	10	12	24	8
TTC32	28	42	32	19
SNORD109A	0	0	0	0
DHCR24	7584	16011	18133	10938
DRD1	0	4	0	1
ADPRM	24	78	54	35
FXYD1	3	6	0	0
SBNO1	680	1393	1572	1234
OTOF	1	0	4	4
ZNF479	0	0	0	0
MCCD1	0	0	0	0
IL10RB	235	538	433	216
RELA	584	2305	2425	1264
SRBD1	569	1074	1067	624
MIR5001	0	2	0	0
LINC01234	0	0	0	1
SNORA66	0	1	0	0
WDR37	147	348	509	283
HNRNPH3	2659	3537	4571	2376
SNORA56	0	0	0	0
VAC14	492	1540	1083	689
CCDC3	3	1	4	1
NDUFB10	1944	4583	5050	2450
LOC101929319	0	0	0	0
KRT8	63245	114072	180204	102718
PIGA	143	227	195	125
MYH1	0	0	0	0
CCDC158	3	1	5	1
FUT8	556	1295	1544	1256
MIR1538	0	0	0	0
HYMAI	0	0	0	0
CYP2S1	18	109	38	29
BMS1P5	1	1	0	1
MIB2	63	354	282	215
ASB3	9	25	23	8
CD207	9	23	21	18
LOC100506076	0	0	1	0
GAS6-AS1	10	0	2	0
SNORA75	1	0	0	1
LOC100506136	1	5	5	2
REV1	207	380	351	227
LRRC30	0	0	0	0
IL27RA	307	756	840	435
LOC100505918	0	0	0	0
PCDHA13	16	64	38	35
PRKG2	9	21	11	10
MIR617	0	0	0	0
SOX17	0	0	0	0
MDM2	900	1909	1905	1550
CMTM2	0	0	0	0
MIR548F5	0	0	0	0
ZNF792	37	135	101	60
POU5F2	0	0	0	0
KCNJ18	0	0	0	0
LOC100996590	0	0	0	0
DEFB119	0	0	0	0
RTEL1	9	54	43	21
C2CD2	1	0	1	0
LOC101928398	0	0	0	0
NBR2	4	49	24	16
HIST1H2BN	0	9	13	4
SIM2	54	173	156	93
MIR4513	0	0	0	0
ABO	0	0	0	0
MARCH8	254	917	546	359
NSMAF	467	1185	919	500
RAB11B	578	2508	1714	925
TEN1-CDK3	0	1	2	0
METRNL	462	1655	2183	1134
SDPR	0	0	0	0
USP17L4	0	0	0	0
DKFZp779M0652	0	6	0	0
ZNF177	0	0	0	1
MOSPD1	153	280	237	133
GPANK1	218	541	292	187
TMCC1	280	728	625	459
FMN1	274	968	600	643
SNX24	342	929	821	474
CTSW	1	8	2	4
KRTAP5-10	1	5	3	2
ESRG	0	0	0	0
CENPP	98	171	131	73
KANSL1L	280	124	158	78
LOC100506551	37	0	0	0
SH3TC2	1	16	17	16
MRFAP1L1	955	2352	2112	1200
ADD3-AS1	8	1	1	0
GCC1	296	873	786	476
BAAT	0	4	1	1
OR8G2	0	0	0	0
CHCHD6	70	295	255	112
GALNT2	718	1954	2484	1687
CFHR4	0	3	0	1
IQCC	80	173	293	115
LHFPL4	0	0	0	0
CNOT6	710	1151	1662	1176
LINC01299	0	0	0	0
ZBTB11-AS1	56	143	110	67
MIR371B	0	0	0	0
SNORD36A	15	16	12	6
BATF3	1	0	2	3
CD1B	0	0	0	0
C9orf171	0	0	1	1
ANKRD30B	50	138	43	26
WDR27	21	71	65	63
MIR3913-1	0	0	0	0
SEC16B	4	49	20	10
CCNJL	95	239	384	202
LOC101928961	0	0	0	0
SNORD115-10	0	0	0	0
MEPE	1	0	1	0
TTC12	148	374	402	170
CD300LG	0	0	0	0
RASAL2	162	287	333	248
MIR142	0	0	0	0
TFAP2C	969	2520	2495	1895
RBMY1E	0	0	0	0
OR4N5	0	0	0	0
MFI2-AS1	13	54	47	34
CYSLTR1	0	0	0	0
WDR65	4	7	15	10
ADAMTS8	4	4	9	7
TAT	1	1	0	0
AREG	6	52	35	19
ZBTB46	192	202	233	153
C10orf113	0	1	0	0
KRTAP5-7	0	0	0	0
HS6ST1	370	976	1126	750
LOC101927718	0	0	0	0
H2AFB1	0	0	0	0
RBPMS2	16	38	52	11
CLCA3P	0	1	0	0
PARL	443	1041	1028	538
DSE	129	217	352	238
SNORA2A	0	1	0	0
RNF151	0	0	0	0
PPP1R3B	254	534	391	258
ZNF724P	12	28	27	13
KRTAP19-3	0	0	0	0
FGF14-IT1	0	0	0	0
PRDM15	139	309	292	224
DDC	10	15	24	10
WWC1	507	1165	1526	933
LOC102467224	0	0	0	0
COA3	293	799	668	369
CGNL1	46	279	166	137
KATNBL1	158	205	227	114
SNORD115-26	0	0	0	0
TRPM3	0	0	0	0
SH3PXD2B	130	452	466	368
LINC00583	0	0	0	0
LNX1-AS1	0	0	0	0
MRPS18A	288	1146	769	486
SP1	1106	4062	2506	1810
EGFLAM	1	1	2	1
MSRB2	300	715	756	371
SMARCAL1	251	606	418	250
MCIDAS	5	52	55	32
CAPS	22	104	135	72
PLAC9	0	0	0	0
MIR7641-2	0	0	0	0
CDK12	938	1697	2013	1226
SUSD2	780	4080	2638	1841
EEPD1	37	102	150	84
LPP-AS1	0	0	0	0
RAPGEF4	7	32	18	10
MRPL27	431	1013	1189	626
MTFR1	561	1099	753	417
ABCC5	248	484	762	505
TELO2	630	1564	2346	1338
MRPL23	369	792	819	366
CLIP1-AS1	1	0	0	0
DTWD2	280	403	436	234
TNFAIP8	80	213	126	98
TMEM217	5	6	13	7
SLC6A9	147	3106	180	418
UBR3	1085	1673	2128	1335
C6orf15	0	0	0	1
CRNN	0	0	0	0
H1FOO	0	0	0	0
OMA1	104	202	172	67
PPP1R18	208	433	634	297
APOPT1	319	1021	780	360
NUMA1	5396	24576	14112	10864
C2orf72	23	44	57	29
ATPAF2	155	629	454	292
TAF11	680	1220	1558	883
OR5H2	0	0	0	0
LOC151484	0	0	0	0
ARFGAP2	1191	3881	3226	1798
ZNF696	108	278	389	213
CDK18	314	2206	1057	699
CDC123	1476	2297	3226	1569
CPNE2	65	184	243	121
FOXD1	118	324	298	174
SMIM24	0	0	0	0
RALGAPB	703	1462	1296	796
ABHD16A	328	1237	978	545
CCDC27	0	0	0	0
NTRK3-AS1	0	0	0	0
EVX1-AS	0	0	0	0
OR2V2	0	0	0	0
TNFSF11	0	0	0	0
ANGPTL5	1	0	1	0
RRN3P3	29	75	43	48
MINOS1P1	0	1	2	0
KSR2	55	192	225	173
ENG	2	4	4	4
HOTAIR	18	74	72	49
SGK1	67	182	154	82
DUS4L	96	206	118	77
CLIP2	93	621	508	287
PIGP	158	401	349	188
TUBB2B	2	5	0	0
ZNF501	0	0	0	0
SPESP1	48	91	98	58
