Gene_ID	MCF7-2-DMSO-1	MCF7-2-DMSO-2	MCF7-2-DMSO-3	MCF7-2-LY-1	MCF7-2-LY-2	MCF7-2-LY-3	MDA-MB453-DMSO-1	MDA-MB453-DMSO-2	MDA-MB453-DMSO-3	MDA-MB453-LY-1	MDA-MB453-LY-2	MDA-MB453-LY-3	MDA-MB-468-DMSO-1	MDA-MB468-DMSO-2	MDA-MB468-DMSO-3	MDA-MB468-LY-1	MDA-MB468-LY-2	MDA-MB468-LY-3
SPAG8	2	7	5	2	3	3	2	2	3	3	0	2	2	3	4	1	4	9
MT1X	312	422	500	385	259	499	67	70	100	30	23	37	734	1399	1994	425	898	1013
STAT6	28	45	55	19	24	50	735	714	886	1846	1569	1776	598	642	981	359	564	738
MOB2	133	263	254	202	157	260	196	211	297	343	295	424	193	253	306	149	191	227
STT3B	3591	4622	5860	4353	3383	4430	5563	5287	7255	9484	7508	7613	3888	4485	5982	3402	4236	4846
SDR42E2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
LIFR	903	1159	2048	1408	853	1550	9	30	86	55	41	82	363	367	619	231	288	531
TSPAN10	4	3	7	4	4	4	5	4	6	5	4	6	78	115	160	54	116	114
MMP20	0	0	0	0	0	0	0	0	0	0	0	0	13	20	18	16	19	14
ARHGEF28	289	332	526	339	256	431	0	0	0	1	0	0	672	607	952	654	576	759
NFATC2	225	291	394	376	345	470	0	0	0	0	0	0	344	393	636	315	298	502
ZFP14	68	162	141	107	78	133	40	34	36	154	116	91	99	113	165	71	115	179
ROR2	887	1249	1736	1046	878	1383	468	457	614	420	362	354	0	0	1	0	0	0
ETV2	43	93	66	48	42	34	35	23	39	50	40	53	28	29	32	24	29	27
NPRL2	270	436	443	291	277	344	351	306	438	585	478	586	149	191	259	175	241	207
C1orf210	173	336	343	254	229	310	192	199	250	293	213	272	137	213	242	88	141	185
KCTD1	364	570	709	471	391	582	622	605	685	828	692	551	1097	1271	1680	1001	1258	1407
SNX12	967	1261	1456	1490	1086	1693	1011	1077	1199	2314	1984	2401	1092	1203	1672	1005	1250	1494
DPM2	1512	2221	2328	1295	1046	1635	582	531	731	1129	966	1070	343	455	611	404	527	608
SLC16A6	285	304	611	693	532	990	3141	3042	4928	2550	2015	3268	60	59	100	57	64	91
MADCAM1	5	12	13	6	13	9	15	12	5	6	6	8	2	1	4	0	2	5
HMGCS1	5912	5382	11618	6816	3897	8517	2456	2380	3950	1888	1388	1764	2991	3160	3675	3132	3510	4652
C4BPA	0	0	0	0	0	1	0	0	0	0	0	0	0	2	2	0	0	0
IFT57	696	907	1123	819	618	857	0	0	1	2	0	0	235	193	319	244	236	245
FBXW12	0	1	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1
PHF21B	8	13	14	11	6	22	9	8	9	3	0	4	0	0	0	0	0	0
DLGAP3	34	54	70	34	26	41	8	9	22	6	1	6	3	5	9	0	0	1
HCFC1R1	1180	1660	1565	819	883	1101	613	633	677	742	648	677	226	239	374	153	256	228
SRSF10	2697	3783	4666	2391	1634	2637	1713	1643	2166	2132	1615	2036	2307	2728	3933	2416	2704	3816
DDX19B	458	610	688	359	256	398	186	154	219	180	115	190	373	352	474	310	392	377
SCMH1	357	437	593	403	318	539	564	460	731	882	743	907	1008	1256	1676	791	1269	1518
GRTP1	550	674	877	532	454	645	106	97	133	172	131	148	786	990	1132	772	908	959
ACSS2	682	850	848	952	754	969	889	809	1389	1079	884	1320	1892	2574	3159	2176	3043	3065
ZNF703	2954	4977	5670	3824	4227	5184	1332	1369	1724	2074	1915	1582	831	771	1267	615	897	1145
EPN3	2103	2569	3689	2137	1569	2817	3717	3713	4140	3623	3069	2410	783	846	1178	711	902	934
NLN	1751	2388	3288	2208	1744	2484	666	624	912	940	671	831	1783	1833	2630	1809	1897	2244
TSPY2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DGCR8	955	1008	1936	1130	799	1460	493	471	635	777	629	651	571	761	1058	740	805	1366
ITGB1BP2	1	0	1	0	0	2	0	0	1	1	0	0	0	1	0	0	0	3
SLC39A1	7900	9236	12381	8955	7183	10764	5097	5205	5823	10113	8141	9600	3626	4050	5391	3958	4558	4918
SFMBT2	159	280	436	425	264	584	690	673	660	1201	905	810	0	1	0	0	0	0
GSX1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FADS1	3110	3822	3877	2162	1778	2420	618	585	944	130	89	166	1415	1622	1832	1373	1419	1294
TMTC1	6	19	14	28	17	22	2486	2431	2205	1385	1109	392	0	0	0	0	0	0
OR1B1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STARD7	3187	4621	8750	5902	3498	7215	2718	2716	3699	3720	3041	3131	3446	4197	7304	2623	3183	6708
ARHGEF7	443	591	987	718	531	913	287	309	373	515	462	509	1099	1244	1991	1059	1184	2142
LGI4	0	0	0	0	0	0	1	1	0	0	1	0	5	5	5	11	12	24
COX7A2	3189	4708	4421	3181	2569	3022	2354	2241	2848	4226	3053	4157	2235	2714	3166	2039	2818	2782
LIMS3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZADH2	1544	2376	2815	1172	900	1412	740	720	1040	1015	872	983	355	444	615	303	397	505
THSD7A	0	0	0	1	1	1	0	0	0	0	0	0	126	175	283	89	140	191
H3F3C	33	53	71	15	19	25	11	18	23	13	10	7	11	14	13	18	21	15
LSAMP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VPS72	2088	2986	3380	2023	1722	2307	1218	1107	1505	1626	1347	1636	1024	1113	1572	897	1177	1220
B4GALT1	594	987	1579	2365	1678	2600	2950	3255	4084	6947	5479	6276	1899	2257	3343	1613	2030	2674
TKTL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBM19	731	996	1453	590	444	842	916	927	1246	1004	844	1132	578	589	913	590	637	759
PPARD	1106	1424	1877	976	738	1274	2685	2443	2408	3884	3216	3571	555	746	1016	571	716	1048
DKK1	104	279	191	782	451	1147	0	0	2	1	4	0	527	328	630	1221	602	959
ZRANB2	1004	1452	1662	1024	861	1165	819	757	893	813	565	638	2058	2173	2727	1951	2094	2625
NUTM2D	9	16	10	15	8	15	6	2	2	12	2	8	16	7	12	3	0	13
FAM81B	0	0	0	0	0	0	0	0	0	1	1	3	0	0	0	0	0	0
GPC4	977	1515	1579	1858	1437	2024	499	541	347	1663	1342	746	1066	1214	1494	720	1142	1322
PITX1	1112	1312	2121	680	527	883	1146	1182	1549	1186	950	1203	3094	4053	4872	2398	3556	2991
NDUFB6	687	975	997	610	437	611	1488	1350	1801	1558	1156	1516	631	737	977	379	648	709
PAF1	3203	4265	5272	2760	2161	3308	1919	1939	2424	2191	1699	2085	1843	1933	2873	1725	1986	2567
RP11-366L20.2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0
RNF14	863	1274	1512	1155	890	1228	964	926	1184	1642	1185	1379	931	1047	1448	777	942	954
RUFY4	0	0	0	0	0	2	0	0	0	1	0	0	1	1	6	1	1	1
CKMT1B	423	541	557	349	374	460	1019	978	1208	1518	1209	877	130	175	216	53	107	107
TCEAL4	2474	3916	4440	3616	3249	4328	990	946	1198	1921	1474	1825	1126	1217	1906	1129	1412	1639
STRC	1	0	0	2	1	0	0	1	0	4	1	0	0	0	1	0	0	3
HNRNPF	10292	14917	18095	9784	6950	11204	8546	8224	11907	9938	7824	11048	7764	9236	13021	8093	9538	11771
SPRR3	0	0	0	1	2	1	0	0	0	0	1	1	0	0	0	0	1	0
SLC13A5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HRH3	26	29	27	16	8	12	0	1	0	0	0	0	0	0	1	0	0	0
IDH1	1962	2454	3152	1998	1398	2078	2592	2608	3468	3621	2796	2962	2850	3083	4395	1813	2949	3431
BTBD16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
RIC8A	2429	3044	3934	2521	1955	3085	2747	2675	3690	3518	3041	4078	1734	1916	2727	2036	2300	2760
MANBAL	602	866	975	856	679	870	396	463	544	935	785	883	755	872	1265	790	986	1222
PIK3R2	5909	7815	8919	9663	8315	12236	9144	8944	10365	36095	30368	37567	1779	2133	2749	1698	2152	2420
ABCC10	265	352	560	663	478	813	204	193	252	410	332	414	498	489	900	469	556	796
MYBPC1	1	1	5	1	0	2	5	2	20	8	8	5	0	0	2	0	1	0
GJD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C2orf53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TEX22	15	21	23	16	7	11	13	12	14	17	10	27	4	3	4	2	1	6
MRGPRX4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCDHB7	14	27	21	23	32	38	1	0	1	0	1	0	2	0	2	0	0	1
SLC6A17	91	119	165	143	110	226	0	1	0	0	2	1	261	258	510	180	240	304
TNFSF9	8	8	21	15	10	29	0	0	0	0	0	0	81	42	90	141	145	306
ATF6B	1234	1589	1944	1563	1214	1739	1288	1285	1655	2004	1759	1939	497	555	1068	522	718	1165
PCBP1	9952	14022	18443	8535	6470	11164	5945	6032	8037	8030	6578	8035	6959	7660	11038	6230	7334	9268
CCNE1	167	133	339	226	82	258	145	142	200	72	59	39	480	484	683	748	477	817
ARL14EP	464	645	714	493	416	543	208	228	228	573	427	485	362	431	576	449	449	607
PRLH	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFAIP8L3	31	47	41	43	24	51	0	0	0	0	0	0	108	188	129	61	213	142
NBPF1	1365	1886	3929	2338	1483	3241	240	282	346	469	418	460	1196	1148	2199	812	1120	1967
MED18	495	801	893	568	457	654	466	389	451	592	482	432	188	204	300	150	172	257
POLDIP2	5489	6661	8456	4601	3756	5492	3109	3073	3761	4117	3296	4091	2205	2573	3305	2507	2708	2812
SEMA4B	552	808	1205	817	617	1100	242	252	234	441	349	303	159	204	401	145	166	328
CDKAL1	246	323	465	154	129	202	195	202	244	193	150	155	597	729	912	546	620	769
ALPK2	0	0	0	0	0	0	0	0	0	0	0	0	11	17	25	11	12	34
STK17B	271	388	752	355	211	434	221	274	268	154	110	74	514	556	946	351	337	642
MCPH1	331	361	499	288	228	369	188	188	268	247	201	213	313	311	417	366	328	452
PDLIM2	182	187	247	251	172	299	32	21	23	1	1	2	280	325	471	211	288	269
LYSMD3	601	679	1099	694	492	802	671	640	728	950	720	714	484	584	741	388	448	578
KRR1	1099	1591	1927	1334	983	1333	643	639	855	1026	701	911	738	794	1243	818	784	1081
GOLGA6L6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRIM33	6004	8155	13052	9488	6531	11594	960	885	1042	1450	1041	862	1762	2016	3074	1541	1755	2656
TMEM165	976	1138	1707	1247	999	1473	881	815	1131	1561	1174	1354	768	1043	1230	811	924	1285
SPRR2G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS6KA1	1606	1630	2584	1714	1188	1967	216	211	256	433	331	322	2364	2514	3364	2885	2864	3180
GLTPD1	753	825	1342	1070	829	1325	1141	1077	1462	2503	2118	2313	917	999	1327	1081	1188	1264
CASP5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-57H12.6	0	0	0	0	0	0	0	1	1	1	0	0	0	3	0	0	0	0
YIPF7	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	2
MRPL15	1366	1906	2158	1186	879	1301	930	863	1295	978	794	844	1037	1134	1489	1034	1181	1260
MBD4	506	703	908	612	507	716	523	471	543	495	397	373	953	908	1243	907	1089	1298
ATP5C1	5166	7319	7315	5250	4301	5084	2600	2557	3420	3233	2432	2873	3586	4209	5085	3490	4326	4037
KRTAP4-16P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CARHSP1	1849	2363	2689	1439	1046	1701	1740	1779	2224	1218	981	1079	1809	2037	2739	1702	1815	2233
DDX23	2906	4710	5886	2886	2153	3572	3440	3666	4343	3673	2970	3699	1690	1890	2971	1500	1758	2707
MZT2A	2003	3112	3219	1554	1458	2125	703	752	1049	517	433	546	645	755	1126	617	882	938
POLRMT	800	1114	1694	947	879	1305	1182	1141	1605	1769	1545	2127	1057	1236	1686	1180	1506	1490
GATM	8	5	7	4	6	9	327	318	321	484	363	310	1	3	4	4	2	9
BEGAIN	29	32	47	100	59	129	4	5	14	1	3	0	0	0	0	0	0	0
LYPLA1	2382	3217	3334	1993	1601	1925	1002	943	1400	2101	1524	1857	938	1031	1274	1053	1098	1296
LYSMD4	23	24	49	43	31	69	32	40	36	56	46	42	31	34	53	26	47	54
SGCZ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTF2	276	324	554	472	314	509	442	362	404	522	373	361	1046	1185	1687	1029	1119	1492
C7orf55-LUC7L2	781	1047	1520	668	481	968	687	679	819	651	515	602	663	723	1054	671	694	948
ZFYVE9	555	905	991	670	546	713	361	350	413	830	677	706	1244	1520	1866	1001	1299	1403
CD33	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0
TTLL5	1216	1353	1937	1013	707	1279	983	933	1195	1365	1017	1164	785	968	1193	712	976	1085
MAST1	26	74	64	46	33	61	219	207	225	180	175	207	111	162	205	117	133	168
MSANTD4	161	186	295	219	157	222	280	264	343	629	466	511	238	234	350	280	264	334
MMEL1	42	68	82	34	33	45	2	4	3	3	0	2	0	1	1	0	1	0
PPARA	211	269	326	153	118	211	408	424	479	162	104	162	895	1052	1501	732	840	1224
RP11-322L20.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYO1F	35	50	70	70	74	75	3	4	3	7	5	8	0	0	0	2	0	0
SERF1A	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0
FAM50B	215	337	380	262	228	287	279	273	363	501	425	541	366	426	619	439	461	622
ZAN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADHFE1	2	0	4	1	3	0	7	8	12	56	49	54	4	4	8	6	6	13
TECTB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PNPT1	999	1170	2004	1006	555	1111	568	535	813	627	484	596	1340	1357	2214	1565	1510	2111
LYVE1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TOMM5	684	826	1006	537	432	647	1006	930	1250	1015	812	993	1213	1268	1834	1347	1575	1810
ACADS	265	468	483	192	179	253	2	3	2	0	0	1	97	115	183	78	137	134
FAHD2B	83	93	127	85	67	78	18	11	17	1	3	8	150	173	225	171	235	191
PRRC2C	6225	8630	15633	10047	6766	13887	4093	4011	4264	6049	4991	4842	4612	4988	9371	3844	4445	9384
ZMYM5	221	407	383	311	211	347	104	104	93	190	151	174	116	126	179	117	130	202
TNFSF8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SALL3	1	0	0	7	3	5	0	0	0	0	0	0	0	0	0	0	0	0
C2orf47	849	1162	1450	690	530	795	545	539	678	591	472	572	532	596	892	611	663	729
PBDC1	311	366	482	525	368	526	368	393	406	486	371	377	0	0	0	0	0	3
CDCA2	774	760	1418	454	324	745	585	584	610	187	139	66	1397	1457	1914	1418	1383	1508
UHRF1BP1L	730	1110	1317	563	428	688	887	772	1007	1121	845	1280	758	869	1153	650	763	979
CCDC105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC11	41	100	63	77	74	80	2411	2497	4813	18448	14879	22944	7	1	4	2	2	7
DNAJB5	41	41	94	77	57	93	170	157	136	169	139	115	17	18	31	12	17	34
SMAP1	848	1312	1538	1274	897	1272	919	898	1262	1721	1282	1564	1183	1405	1782	1086	1264	1283
CD1D	6	10	9	3	4	4	0	0	0	0	0	0	0	0	0	0	0	0
QRICH1	722	1123	1783	1099	781	1476	892	958	1168	1310	1105	1272	628	709	1243	525	590	1152
SMAD3	1117	1689	2121	1869	1787	2529	350	356	475	1091	879	1065	589	661	1029	657	551	1007
PHF7	53	72	103	55	34	59	44	35	58	49	43	65	16	22	40	24	27	54
CDH8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCDHA2	39	78	84	52	40	57	0	0	0	1	0	0	1	1	2	1	0	0
PNP	1090	1521	2141	1344	1012	1619	1477	1549	1789	1681	1275	1362	1948	2130	3026	3050	2801	4210
SPATA21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
EMP3	46	54	50	61	71	60	14	19	12	19	15	26	2	6	6	6	11	10
TSN	3731	5004	6010	3167	2389	3442	1830	1836	2408	2593	2013	2604	2657	2656	3747	2411	2651	3008
SLFN13	0	0	0	1	0	2	1504	1353	1620	579	439	435	395	427	604	347	342	583
STK40	868	1459	1755	1564	1700	2097	638	577	699	1488	1204	1115	1832	2073	2923	1930	2403	3069
LY86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL358813.2	4	6	1	6	8	9	0	0	0	0	0	0	0	0	0	0	0	0
WNT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PQLC2	390	478	710	649	568	783	383	425	463	688	534	719	155	187	263	187	183	261
SMYD2	1299	1753	1972	2196	1623	2168	1163	1096	1411	966	720	612	1530	1653	2202	1344	1644	1668
SMARCA2	1693	2558	2759	2764	2358	3045	1678	1619	2213	3462	2742	3605	1411	1720	2296	881	1612	1662
SCN8A	5	19	18	11	3	16	0	0	0	4	2	1	0	1	0	0	0	0
BDKRB1	0	0	0	1	4	1	0	1	1	1	0	0	0	0	0	0	0	0
HCRTR1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
RFT1	826	1058	1174	584	429	602	562	567	686	567	461	532	610	635	920	672	784	810
KRTAP12-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RGS10	514	718	690	894	870	902	133	109	133	228	167	52	406	384	446	331	409	351
DNAH7	3	14	7	9	11	8	4	1	4	10	6	8	1	1	0	1	1	1
DMRT2	25	44	42	7	7	14	0	0	0	0	0	0	0	0	1	1	0	0
GPR128	0	0	1	2	4	3	0	0	0	0	0	0	0	0	0	1	0	0
PURB	2775	3733	5869	3509	2744	4302	2164	2094	2499	3547	2862	2797	2496	2863	4173	2100	2359	3916
TMEM101	441	857	762	541	554	668	0	0	0	1	2	0	496	592	854	497	608	616
CTC-435M10.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FHL2	27	42	29	176	141	148	1	3	3	8	5	1	2136	1967	3103	2551	2416	3103
PGRMC1	3331	4155	4788	2794	2187	3065	1950	1919	2823	2234	1847	2215	4637	6170	6822	4207	5779	5798
GOLGA3	973	1338	3788	2624	1640	4005	1113	1300	1386	2768	2315	1953	704	749	1732	537	666	1979
HEBP1	1931	3387	3143	1724	1578	1930	785	770	930	1252	904	1085	445	465	615	438	492	565
